Access Billing Services,,,,,,,,,,,,,,,,,,,,,,,,,
"TA / PETRO PRICING WORKSHEET, For: TRANSPORTATION STAFFING SER Effective Date: 03/02/2015",,,,,,,,,,,,,,,,,,,,,,,,,
* Reflects Deal Change in last 45 Calendar Days,,,,,,,,,,,,,,,,,,,,,,,,,
***RETAIL PRICES ARE SUBJECT TO CHANGE AT ANY TIME***,,,,,,,,,,,,,,,,,,,,,,,,,
Number of deals that changed: 1,,,,,  INDEXED BASE PRICING (IBP) COMPONENTS  ,,,,,,,,,,,,,,,Retail Less @05:37 AM,,,,,
Loc,Loc,,,Third Party,Price-Based Rack,Opis,Product,* Deal Chg,Deal Eff.,,,Fed.,State,Sales,State,Other,Additive,IBP,IBP,Retail,Retail,Retail,Fuel,Savings,Bulk DEF
Type,#,Travel Center,ST,Merchant ID,(City/State),Rack ID,Dispensed,,Date,Index,Freight,Tax,Tax,Tax,UST,Tax,/ CAR Fee,Adjustment,Fuel Price,Price,Factor,Fuel Price,Price,Total,Price
CORP,5005,TA TUSCALOOSA                 ,AL,AL333     ,"BIRMINGHAM, AL                ",615,DIESEL ULTRA LOW SULFUR       ,,5/5/2011,2.0248,0.037,0.244,0.19,0,0.01,0.0194,0,0.01,2.5352,2.759,-0.09,2.669,2.535,,2.859
CORP,6352,PETRO GADSDEN                 ,AL,AL383     ,"BIRMINGHAM, AL                ",615,DIESEL ULTRA LOW SULFUR       ,,8/2/2012,2.0248,0.06,0.244,0.19,0,0.01,0.0294,0,0.03,2.5882,2.789,-0.04,2.749,2.588,,2.799
CORP,778,TA MOBILE                     ,AL,AL072     ,"MOBILE, AL                    ",715,DIESEL ULTRA LOW SULFUR       ,,5/5/2011,1.9739,0.0348,0.244,0.19,0,0.01,0.0294,0,0.01,2.4921,2.859,-0.13,2.729,2.492,,2.859
FRAN,6397,PETRO DODGE CITY              ,AL,AL380     ,,,,*,2/9/2015,,,,,,,,,,,2.759,0,2.759,2.759,,2.849
CORP,6260,TA LINCOLN                    ,AL,AL260     ,"BIRMINGHAM, AL                ",615,DIESEL ULTRA LOW SULFUR       ,,12/17/2014,2.0248,0.0385,0.244,0.19,0,0.01,0.0294,0,0.01,2.5467,2.799,-0.09,2.709,2.547,,3.199
CORP,6319,PETRO BUCKSVILLE              ,AL,AL283     ,"BIRMINGHAM, AL                ",615,DIESEL ULTRA LOW SULFUR       ,,8/2/2012,2.0248,0.0294,0.244,0.19,0,0.01,0.0194,0,0.04,2.5576,2.759,-0.04,2.719,2.558,,2.859
FRAN,723,TA MONTGOMERY                 ,AL,AL085     ,"MONTGOMERY, AL                ",720,DIESEL ULTRA LOW SULFUR       ,,5/21/2009,2.0141,0.046,0.244,0.19,0,0.01,0.0594,0,0.04,2.6035,2.899,0,2.899,2.604,,2.899
CORP,6348,PETRO SHORTER                 ,AL,AL361     ,"MONTGOMERY, AL                ",720,DIESEL ULTRA LOW SULFUR       ,,8/2/2012,2.0141,0.0231,0.244,0.19,0,0.01,0.0594,0,0.02,2.5606,2.929,-0.04,2.889,2.561,,2.929
CORP,5006,TA EARLE                      ,AR,AR040     ,"MEMPHIS, TN                   ",435,DIESEL ULTRA LOW SULFUR       ,,5/5/2011,2.0294,0.0284,0.244,0.225,0,0.003,0.0024,0,-0.02,2.5122,2.879,-0.12,2.759,2.512,,2.849
CORP,6326,PETRO N LITTLE ROCK           ,AR,AR307     ,"EL DORADO, AR                 ",635,DIESEL ULTRA LOW SULFUR       ,,8/2/2012,2.0479,0.0195,0.244,0.225,0,0.003,0.0019,0,0.02,2.5613,2.919,-0.04,2.879,2.561,,2.849
CORP,6224,TA PRESCOTT                   ,AR,AR273     ,"EL DORADO, AR                 ",635,DIESEL ULTRA LOW SULFUR       ,,5/5/2011,2.0479,0.0462,0.244,0.225,0,0.003,0.0019,0,0.01,2.578,2.879,-0.16,2.719,2.578,,2.849
CORP,6311,PETRO W MEMPHIS               ,AR,AR375     ,"MEMPHIS, TN                   ",435,DIESEL ULTRA LOW SULFUR       ,,2/18/2011,2.0294,0.0201,0.244,0.225,0,0.003,0.0024,0,0.02,2.5439,2.879,-0.04,2.839,2.544,,2.849
CORP,5002,TA ELOY                       ,AZ,AZ189     ,"PHOENIX, AZ                   ",930,DIESEL BIO ULTRA LS 15%       ,,5/5/2011,2.0503,0.0383,0.244,0.26,0,0.01,0.0019,0,0,2.6045,2.839,-0.05,2.789,2.605,,2.849
CORP,6306,PETRO ELOY                    ,AZ,AZ182     ,"PHOENIX, AZ                   ",930,DIESEL BIO ULTRA LS 15%       ,,8/2/2012,2.0503,0.0384,0.244,0.26,0,0,0.0019,0,0.03,2.6246,2.839,-0.02,2.819,2.625,,2.849
CORP,6246,TA HOLBROOK                   ,AZ,AZ456     ,"ALBUQUERQUE, NM               ",580,DIESEL ULTRA LOW SULFUR       ,,1/18/2013,2.103,0.0867,0.244,0.26,0,0,0.0019,0,0.01,2.7056,2.959,-0.06,2.899,2.706,,2.849
CORP,439,TA KINGMAN                    ,AZ,AZ012     ,"LAS VEGAS, NV                 ",910,DIESEL ULTRA LOW SULFUR       ,,5/5/2011,2.1007,0.0775,0.244,0.26,0,0.01,0.0019,0,0,2.6941,2.959,-0.05,2.909,2.694,,2.849
CORP,6315,PETRO KINGMAN                 ,AZ,AZ158     ,"LAS VEGAS, NV                 ",910,DIESEL ULTRA LOW SULFUR       ,,8/2/2012,2.1007,0.0775,0.244,0.26,0,0,0.0019,0,0.03,2.7141,2.959,-0.02,2.939,2.714,,2.849
CORP,6315,PETRO KINGMAN                 ,AZ,AZ184     ,"LAS VEGAS, NV                 ",910,DIESEL ULTRA LOW SULFUR       ,,8/2/2012,2.1007,0.0775,0.244,0.26,0,0,0.0019,0,0.03,2.7141,2.959,-0.02,2.939,2.714,,2.849
CORP,6225,TA TONOPAH                    ,AZ,AZ061     ,"PHOENIX, AZ                   ",930,DIESEL BIO ULTRA LS 15%       ,,5/5/2011,2.0503,0.04,0.244,0.26,0,0.01,0.0019,0,0,2.6062,2.839,-0.05,2.789,2.606,,2.849
CORP,6226,TA WILLCOX                    ,AZ,AZ065     ,"TUCSON, AZ                    ",980,DIESEL BIO ULTRA LS 10%       ,,5/5/2011,2.1298,0.0488,0.244,0.26,0,0,0.0019,0,0,2.6845,2.759,-0.05,2.709,2.685,,2.879
CORP,6239,TA WHEELER RIDGE              ,CA,CA829     ,"BAKERSFIELD, CA               ",858,DIESEL CARB ULTRA LOW SULFUR  ,,5/5/2011,2.1804,0.0337,0.244,0.11,0.2415,0.02,0.0019,0.1211,0.01,2.9626,3.219,-0.07,3.149,2.963,,2.849
CORP,6227,TA BARSTOW                    ,CA,CA226     ,"BARSTOW, CA                   ",860,DIESEL CARB ULTRA LOW SULFUR  ,,5/5/2011,2.0424,0.0285,0.244,0.11,0.2396,0.02,0.0019,0.1211,0,2.8075,3.199,-0.05,3.149,2.808,,2.849
CORP,429,TA BUTTONWILLOW               ,CA,CA015     ,"BAKERSFIELD, CA               ",858,DIESEL CARB ULTRA LOW SULFUR  ,,5/5/2011,2.1804,0.0433,0.244,0.11,0.2424,0.02,0.0019,0.1211,0.01,2.9731,3.219,-0.11,3.109,2.973,,2.849
