Longitude,Latitude,Name,Location,City,State,Zip,Phone,Fax,Location,Lat Long
-87.0919,33.2796,Petro Bucksville,I-20/I-59- Exit 100 (Hwy 216),McCalla,AL,35111,(205) 477-9178,(205) 477-0124,"McCalla, AL","33.2796, -87.0919"
-86.8721,34.0504,Petro Dodge City,I-65- Exit 299 (Hwy 69),Hanceville,AL,35077,256-287-1299,256-734-2249,"Hanceville, AL","34.0504, -86.8721"
-86.0827,33.9956,Petro Gadsden,I-59- Exit 181 (Hwy 77),Gadsden,AL,35904,(256) 413-7135,(256) 413-7330,"Gadsden, AL","33.9956, -86.0827"
-85.9556,32.4056,Petro Shorter,I-85- Exit 22 (Hwy 80),Shorter,AL,36075,(334) 727-3354,(334) 727-3576,"Shorter, AL","32.4056, -85.9556"
-92.1298,34.781,Petro North Little Rock,I-40- Exit 161 (Hwy 391 N.),North Little Rock,AR,72117,(501) 945-3206,(501) 955-4008,"North Little Rock, AR","34.781, -92.1298"
-90.136,35.1544,Petro West Memphis/Jerry Fritts West Memphis Stopping Center,I-40- Exit 280 / I-55- Exit 4,West Memphis,AR,72301,(870) 702-5540,(870) 702-5547,"West Memphis, AR","35.1544, -90.136"
-111.67,32.8124,Petro Eloy,I-10- Exit 200 (Sunland Gin Rd.),Casa Grande,AZ,85222,(520) 836-3983,(520) 423-2726,"Casa Grande, AZ","32.8124, -111.67"
-113.789,35.1779,Petro Kingman,I-40- Exit 66 (Blake Ranch Rd.),Kingman,AZ,86401,(928) 681-5246,(928) 681-5245,"Kingman, AZ","35.1779, -113.789"
-122.197,39.9059,Petro Corning,I-5- Exit 630 (South Ave.),Corning,CA,96021,(530) 824-4685,(530) 824-1973,"Corning, CA","39.9059, -122.197"
-117.557,34.0647,Petro Ontario/Shawn Hubbard Ontario Stopping Center,I-10- Exit 57 (Milliken Ave.),Ontario,CA,91761-7807,(909) 390-7800,(909) 390-7814,"Ontario, CA","34.0647, -117.557"
-121.016,37.0547,Petro Santa Nella,St. Hwy 152- Exit St. Hwy 33(San Luis Dr.),Santa Nella,CA,95322,(209) 827-8025,(209) 826-2730,"Santa Nella, CA","37.0547, -121.016"
-118.948,34.9861,Petro Wheeler Ridge,I-5- Exit 219A/219B (Laval Rd. W.),Lebec,CA,93243,(661) 663-4341,(661) 663-4348,"Lebec, CA","34.9861, -118.948"
-104.984,40.363,Petro Johnson's Corner,I-25- Exit 254,Johnstown,CO,80534,970-667-2069,970-667-8669,"Johnstown, CO","40.363, -104.984"
-82.2462,29.409,Petro Ocala,I-75- Exit 368 (Hwy 318),Reddick,FL,32686,(352) 591-1881,(352) 591-8639,"Reddick, FL","29.409, -82.2462"
-84.4905,33.7865,Petro Atlanta,I-285- Exit 12 (Donald Lee Hollowell Hwy),Atlanta,GA,30318,(404) 794-7772,(404) 792-6941,"Atlanta, GA","33.7865, -84.4905"
-83.3199,34.3481,Petro Carnesville,I-85- Exit 160,Carnesville,GA,30521,706-335-1980,706-335-2075,"Carnesville, GA","34.3481, -83.3199"
-81.6662,30.7942,Petro Kingsland,I-95- Exit 3,Kingsland,GA,31548,(912) 882-3111,(912) 882-3050,"Kingsland, GA","30.7942, -81.6662"
-88.5723,39.1197,Petro Effingham,I-70/I-57 Exit 159 (West Fayette Ave.),Effingham,IL,62401,(217) 347-0480,(217) 540-2939,"Effingham, IL","39.1197, -88.5723"
-87.7549,41.4258,Petro Monee,I-57- Exit 335,Monee,IL,60449,(708) 534-0400,(708) 534-8489,"Monee, IL","41.4258, -87.7549"
-89.0335,41.9356,Petro Rochelle,I-39- Exit 99 (Rt. 38),Rochelle,IL,61068,(815) 562-3716,(815) 562-5225,"Rochelle, IL","41.9356, -89.0335"
-84.9932,41.7483,Petro Angola,I-69- Exit 157/357 (Lake George Rd.),Fremont,IN,46737,(260) 495-2523,(260) 495-2221,"Fremont, IN","41.7483, -84.9932"
-87.127,39.4455,Petro Brazil,I-70- Exit 23,Brazil,IN,47834,(812) 446-2296,(812) 448-1440,"Brazil, IN","39.4455, -87.127"
-87.3557,41.5638,Petro Gary,I-80/I-94- Exit 9,Gary,IN,46408,(219) 884-1133,(219) 980-2536,"Gary, IN","41.5638, -87.3557"
-85.5526,40.2772,Petro Gaston,I-69- Exit 245,Gaston,IN,47342,(765) 358-3326,(765) 358-0207,"Gaston, IN","40.2772, -85.5526"
-85.3277,39.3184,Petro Greensburg,I-74- Exit 143,Greensburg,IN,47240,(812) 663-2333,(812) 663-4270,"Greensburg, IN","39.3184, -85.3277"
-87.1261,40.767,Petro Remington,I-65- Exit 201 (Hwy 24),Remington,IN,47977,(219) 261-2172,(219) 261-2025,"Remington, IN","40.767, -87.1261"
-101.054,39.3617,Petro Colby,I-70- Exit 53,Colby,KS,67701,(785) 460-0044,(785) 460-0045,"Colby, KS","39.3617, -101.054"
-97.613,38.8789,Petro Salina,I-70- Exit 252,Salina,KS,67401,(785) 825-7723,(785) 827-8992,"Salina, KS","38.8789, -97.613"
-86.5244,36.7163,Petro Franklin -Petro:Lube Only,I-65- Exit 6,Franklin,KY,42134,,,"Franklin, KY","36.7163, -86.5244"
-85.8734,37.5984,Petro Glendale,I-65- Exit 86,Glendale,KY,42740,(270) 369-6840,(270) 369-6848,"Glendale, KY","37.5984, -85.8734"
-92.4624,30.2314,Petro Egan,I-10- Exit 76,Egan,LA,70501,(337) 783-0424,(337) 783-6946,"Egan, LA","30.2314, -92.4624"
-90.4579,30.477,Petro Hammond,I-12- Exit 40 (Hwy 51),Hammond,LA,70403,(985) 542-4981,(985) 429-5951,"Hammond, LA","30.477, -90.4579"
-93.901,32.4446,Petro Shreveport,I-20- Exit 8 (Industrial Loop),Shreveport,LA,71129,(318) 686-6111,(318) 671-6534,"Shreveport, LA","32.4446, -93.901"
-93.3157,43.6577,Petro Albert Lea,I-90/I-35- Exit 11,Albert Lea,MN,56007,507-373-4200,507-379-2645,"Albert Lea, MN","43.6577, -93.3157"
-94.0549,45.4126,Petro Clearwater,I-94- Exit 178 (Hwy 24),Clearwater,MN,55320,(320) 558-2261,(320) 558-6505,"Clearwater, MN","45.4126, -94.0549"
-94.5523,37.0072,Petro Joplin,I-44- Exit 4 (Hwy 43),Joplin,MO,64803,(417) 624-3400,(417) 623-0759,"Joplin, MO","37.0072, -94.5523"
-91.9399,38.9405,Petro Kingdom City,I-70- Exit 148 (Hwy 54),Kingdom City,MO,65262,(573) 642-0676,(573) 592-1832,"Kingdom City, MO","38.9405, -91.9399"
-94.131,39.015,Petro Oak Grove,I-70- Exit 28,Oak Grove,MO,64075,(816) 690-4455,(816) 625-4596,"Oak Grove, MO","39.015, -94.131"
-90.1977,32.2787,Petro Jackson,I-20/I-55- Exit 45(E); 45A(W) (W. Frontage Rd.),Jackson,MS,39201,(601) 292-0940,(601) 292-0947,"Jackson, MS","32.2787, -90.1977"
-78.1457,35.582,Petro Kenly,I-95- Exit 106 (Truckstop Rd.),Kenly,NC,27542,(919) 284-5121,(919) 284-5092,"Kenly, NC","35.582, -78.1457"
-79.2251,36.0772,Petro Mebane,I-40/ 85- Exit 157,Mebane,NC,27302,(919) 304-7476,(919) 304-8136,"Mebane, NC","36.0772, -79.2251"
-96.8632,46.8503,Petro Fargo,I-94- Exit 348,Fargo,ND,58103,(701) 282-8105,(701) 282-9382,"Fargo, ND","46.8503, -96.8632"
