Longitude,Latitude,Name,Location,City,State,Zip,Phone,Fax,Location,Lat Long
-88.3336,30.4985,TA Mobile,"I-10, Exit 4 (Wilmer Road, South)",Grand Bay,AL,36541,251-865-6175,251-865-3278,"Grand Bay, AL","30.4985, -88.3336"
-86.3322,32.3278,TA Montgomery,"I-65, Exit 168 (W. South Blvd.)",Montgomery,AL,36105-3021,334-288-3700,334-281-6462,"Montgomery, AL","32.3278, -86.3322"
-87.4462,33.1759,TA Tuscaloosa,"I-20/1-59, Exit 77 (Buttermilk Rd.)",Tuscaloosa,AL,35453-9364,205-554-0215,205-553-5337,"Tuscaloosa, AL","33.1759, -87.4462"
-93.427,33.8112,TA Prescott,"I-30, Exit 44 (US Hwy 371)",Prescott,AR,71857,870-887-8900,870-887-8929,"Prescott, AR","33.8112, -93.427"
-90.4881,35.1364,TA Earle,"I-40, Exit 260 (St. 149 Earle)",Earle,AR,72331,870-657-2105,870-657-2536,"Earle, AR","35.1364, -90.4881"
-111.6175,32.7737,TA Eloy,"I-10, Exit 203 (Toltec Rod)",Eloy,AZ,85231,520-466-7363,520-466-7536,"Eloy, AZ","32.7737, -111.6175"
-114.0702,35.1901,TA Kingman,"I-40, Exit 48 (US 93)",Kingman,AZ,86401,928-753-7600,928-753-4577,"Kingman, AZ","35.1901, -114.0702"
-112.7823,33.4587,TA Tonopah,"I-10, Exit 103 (N. 339th Ave.)",Tonopah,AZ,85354,623-386-6443,623-386-5242,"Tonopah, AZ","33.4587, -112.7823"
-109.8479,32.2688,TA Willcox,"I-10, Exit 340 (Fort Grant Rd.)",Willcox,AZ,85643,520-384-5311,520-384-9418,"Willcox, AZ","32.2688, -109.8479"
-117.0888,34.8537,TA Barstow,"I-15, Exit 178 (Lenwood Rd.)",Barstow,CA,92311,760-253-2922,760-253-7959,"Barstow, CA","34.8537, -117.0888"
-119.3961,35.401,TA Buttonwillow,"I-5, Exit 257 (Hwy 58)",Buttonwillow,CA,93206-0004,661-764-5266,661-764-5890,"Buttonwillow, CA","35.401, -119.3961"
-116.1756,33.7139,TA Coachella,"I-10, Exit 146 (Dillon Rd.)",Coachella,CA,92236,760-342-6200,760-342-6208,"Coachella, CA","33.7139, -116.1756"
-122.1985,39.9042,TA Corning,"I-5, Exit 630 (South Ave.)",Corning,CA,96021,530-824-4646,530-824-0547,"Corning, CA","39.9042, -122.1985"
-120.7382,37.3876,TA Livingston,"SR 99, Exit 203 (Winton Pkwy.)",Livingston,CA,95334,209-394-4418,209-394-1419,"Livingston, CA","37.3876, -120.7382"
-117.5599,34.0649,TA Ontario,"I-10, Exit 57 (Milliken Ave.)",Ontario,CA,91761-1571,909-390-2525,909-605-6765,"Ontario, CA","34.0649, -117.5599"
-122.3349,40.5048,TA Redding,"I-5, Exit 673 ( Knighton Rd.)",Redding,CA,96002,530-221-4760,530-221-8269,"Redding, CA","40.5048, -122.3349"
-121.0147,37.1101,TA Santa Nella,"I-5, Exit 407 (St. Hwy 33)",Santa Nella,CA,95322-9735,209-826-0741,209-826-6399,"Santa Nella, CA","37.1101, -121.0147"
-118.9412,34.992,TA Wheeler Ridge,"I-5, Exit 219A/219B (Laval Rd.)",Wheeler Ridge,CA,93203-9745,661-858-2804,661-858-2136,"Wheeler Ridge, CA","34.992, -118.9412"
-104.9043,39.7901,TA Commerce City,"I-70/I-270, Exit 278 (Quebec St.)",Commerce City,CO,80022,303-286-0123,303-286-6781,"Commerce City, CO","39.7901, -104.9043"
-103.7067,39.271,TA Limon,"I-70, Exit 359 (Hwy 24)",Limon,CO,80828,719-775-2811,719-775-2713,"Limon, CO","39.271, -103.7067"
-105.1349,39.7793,TA Wheat Ridge,"I-70, Exit 266 (Ward Rd.)",Wheat Ridge,CO,80033-2448,303-423-8250,303-420-4694,"Wheat Ridge, CO","39.7793, -105.1349"
-72.7595,41.2968,TA New Haven,"I-95, Exit 56 (E. Industrial Rd.)",New Haven,CT,06405-6508,203-481-0301,203-871-5000,"New Haven, CT","41.2968, -72.7595"
-72.9102,41.5647,TA Southington,"I-84, Exit 28 (ST Hwy 322)",Southington,CT,6467,860-621-0106,860-628-6735,"Southington, CT","41.5647, -72.9102"
-72.2615,41.9177,TA Willington,"I-84, Exit 71 (Ruby Rd.)",Willington,CT,6279,860-684-0499,860-684-1213,"Willington, CT","41.9177, -72.2615"
-81.9841,30.2855,TA Baldwin,"I-10, Exit 343 (US 301 S.)",Baldwin,FL,32234,904-266-4281,904-266-9614,"Baldwin, FL","30.2855, -81.9841"
